Nome;Marca;Descrição;Categoria;animais_alvo
Drontal Plus Cães 10kg (4 Comp);Elanco;Vermífugo de amplo espectro para vermes chatos e redondos em cães.;Vermífugo;Cães
Endogard Cães 30kg (2 Comp);Virbac;Vermífugo e giardicida para cães. Proteção contra Giardia.;Vermífugo;Cães
Enrofloxacina (Oral);Elanco;Antibiótico de amplo espectro diluído em água para tratamento de infecções bacterianas em aves.;Antibiótico;Pássaros
Enrofloxacina 10% (Injetável);Elanco;Antibiótico de amplo espectro para infecções bacterianas (respiratórias, digestivas).;Antibiótico;Bovinos, Caprinos
Fator Renal Pet (30ml);Arenales;Medicamento homeopático indicado como auxiliar no tratamento da Insuficiência Renal Crônica (DRC).;Suplemento Renal;Todos
Felocell CVR-C (1 Dose);Zoetis;Vacina polivalente para imunização de gatos contra Rinotraqueíte, Calicivirose e Panleucopenia.;Vacina;Gatos
Fenbendazol (Suspensão Oral);MSD Saúde Animal;Vermífugo usado para tratar parasitas intestinais, incluindo E. cuniculi em coelhos.;Vermífugo;Coelhos, Roedores
Fenilbutazona (Injetável/Oral);Vetnil;Anti-inflamatório não esteroidal (AINE) usado para dor e inflamação musculoesquelética, (muito comum em cavalos).;Anti-inflamatório;Equinos
Flagyl 250mg (Metronidazol);Sanofi (Genérico);Antibiótico e antiparasitário (giardicida) usado para tratar diarreias e infecções gastrointestinais.;Antibiótico;Todos
Flunixina Meglumina (Injetável);MSD Saúde Animal;Anti-inflamatório não esteroidal (AINE) potente, usado para dor, inflamação e febre (especialmente cólicas em cavalos).;Anti-inflamatório;Equinos, Bovinos
Fortekor 5mg (28 Comp);Elanco;Tratamento da insuficiência cardíaca (ICC) em cães e doença renal (DRC) em gatos.;Medicamento Cardíaco;Todos
Ivermectina (Tópico/Gotas);Ourofino;Tratamento e controle de ácaros dos sacos aéreos, sarna e piolhos em pássaros.;Antiparasitário;Pássaros
Ivermectina 1% (Injetável);Boehringer Ingelheim;Endectocida (antiparasitário interno e externo) para vermes e sarnas.;Antiparasitário;Bovinos, Caprinos, Equinos
Meloxicam (Suspensão Oral);Boehringer Ingelheim;Anti-inflamatório (AINE) para alívio da dor e inflamação em diversas espécies, incluindo coelhos e porquinhos-da-índia.;Anti-inflamatório;Coelhos, Roedores
Meloxicam 0.5mg (10 Comp);Ourofino;Anti-inflamatório não esteroidal (AINE) para alívio da dor e inflamação.;Anti-inflamatório;Todos
Mercepton Oral (20ml);Bravet;Hepatoprotetor e estimulante digestivo, indicado como antitóxico em casos de intoxicações.;Suplemento Hepático;Todos
Milbemax Gatos (2 Comp);Elanco;Tratamento e controle de vermes intestinais e prevenção do verme do coração.;Vermífugo;Gatos
NexGard Cães 25.1-50kg (1 Comp);Boehringer Ingelheim;Comprimido mastigável sabor carne. Proteção mensal contra pulgas e carrapatos.;Antipulgas e Carrapatos;Cães
Onsior Gatos 6mg (6 Comp);Elanco;AINE (Robenacoxibe) para dor e inflamação em gatos (pós-operatório).;Anti-inflamatório;Gatos
Otodem Plus (20ml);Elanco;Solução para tratamento de otites externas (antibacteriano, antifúngico, anti-inflamatório).;Medicamento Otológico;Todos
Prediderm 5mg (10 Comp);Ourofino;Corticoide (Prednisolona) para processos inflamatórios e alérgicos.;Anti-inflamatório;Todos
Previcox 57mg (10 Comp);Boehringer Ingelheim;AINE (Firocoxibe) para alívio da dor e inflamação associada à osteoartrite em cães.;Anti-inflamatório;Cães
Pronefra (60ml);Virbac;Suplemento alimentar para suporte da função renal em cães e gatos com DRC.;Suplemento Renal;Todos
Revolution 6% (Pipeta);Zoetis;Selamectina. Usado off-label (com prescrição) para tratamento de pulgas e ácaros (sarna) em coelhos e roedores.;Antiparasitário;Coelhos, Roedores
Revolution 6% Gatos (2.6 - 7.5kg);Zoetis;Pipeta para pulgas, sarna de ouvido e vermes intestinais em gatos.;Antipulgas e Carrapatos;Gatos
Rilexine 300mg (14 Comp);Virbac;Cefalexina para infecções de pele (piodermites) e tecidos moles.;Antibiótico;Cães
Simparic 20mg (5.1-10kg) (1 Comp);Zoetis;Comprimido para tratamento de pulgas, carrapatos e sarnas (Sarcóptica, Demodécica).;Antipulgas e Carrapatos;Cães
Synulox 250mg (10 Comp);Zoetis;Amoxicilina com Ácido Clavulânico para infecções em cães e gatos.;Antibiótico;Todos
Terramicina/LA (Injetável);Zoetis;Antibiótico (Oxitraciclina) de longa ação para um amplo espectro de infecções bacterianas.;Antibiótico;Bovinos, Caprinos
Vanguard Plus V10 (1 Dose);Zoetis;Vacina polivalente para imunização de cães contra Cinomose, Parvovirose, Hepatite, etc.;Vacina;Cães
Vetmedin 5mg (50 Comp);Boehringer Ingelheim;Pimobendan. Tratamento da insuficiência cardíaca congestiva em cães.;Medicamento Cardíaco;Cães
